Ziptie	Lot_Name	Species	seed_zone	elevation_cat	elevation_band	lot	tree_num	metal_tag	Genotype	Plant_Yr	Mort_Yr	Height_17	BD_17	%_alive_needles_17	Height_18	BD_18	%_alive_needles_18	Height_19	BD_19	%_alive_needles_19	Height_20	BD_20	%_alive_needles_20	Needles?	Height_21	BD_21	alive_needles_21	num_needles
AquaBlue	PILA55_2	PILA	531	-99	5500	-99	-99	822	0	2017	-99	-99	-99	-99	-99	-99	-99	33.5	12.35	100	-99	-99	-99	0	63.6	19.7	100	3
AquaBlue	PILA55_2	PILA	531	-99	5500	-99	14	925	0	2017	-99	11	3.5	-99	17	7.35	-99	-99	-99	-99	37	12.5	80	3	46.4	13.7	100	3
AquaBlue	PILA55_2	PILA	531	-99	5500	-99	23	885/976	0	2017	-99	10	3.8	-99	11	4.95	-99	13	9.44	100	15	4.1	50	0	-99	-99	-99	-99
black	PILA50_3	PILA	532	-99	5000	-99	1	-99	0	2017	2017	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99
black	PILA50_3	PILA	532	-99	5000	-99	11	-99	0	2017	2017	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99
black	PILA50_3	PILA	532	-99	5000	-99	15	-99	0	2017	2017	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99
black	PILA50_3	PILA	532	-99	5000	-99	16	-99	0	2017	2017	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99
black	PILA50_3	PILA	532	-99	5000	-99	17	-99	0	2017	2017	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99
black	PILA50_3	PILA	532	-99	5000	-99	18	-99	0	2017	2017	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99
black	PILA50_3	PILA	532	-99	5000	-99	19	-99	0	2017	2017	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99
black	PILA50_3	PILA	532	-99	5000	-99	20	-99	0	2017	2017	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99
black	PILA50_3	PILA	532	-99	5000	-99	6	-99	0	2017	2017	11	3.8	0	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99
black	PILA50_3	PILA	532	-99	5000	-99	8	-99	0	2017	2017	7.5	2.2	0	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99
black	PILA50_3	PILA	532	-99	5000	-99	2	-99	0	2017	2018	12	4.2	75	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99
black	PILA50_3	PILA	532	-99	5000	-99	4	-99	0	2017	2019	13	1	-99	18	6.89	100	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99
black	PILA50_3	PILA	532	-99	5000	-99	14	-99	0	2017	2019	10.5	3.1	100	12	5.07	100	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99
black	PILA50_3	PILA	532	-99	5000	-99	5	76	0	2017	2020	13	4.8	75	18	5.87	100	22.5	6.96	100	-99	-99	-99	-99	-99	-99	-99	-99
black	PILA50_3	PILA	532	-99	5000	-99	13	329	0	2017	2020	13	4.7	100	13	8.09	100	33.5	13.86	100	-99	-99	-99	0	-99	-99	-99	-99
black	PILA50_3	PILA	532	-99	5000	-99	9	723	0	2017	2020	16.5	3.3	100	10	5.62	50	12	6.6	100	-99	-99	-99	0	-99	-99	-99	-99
black	PILA50_3	PILA	532	-99	5000	-99	10	998	0	2017	2020	12	3	75	-99	-99	-99	14	3.66	100	-99	-99	-99	0	-99	-99	-99	-99
black	PILA50_3	PILA	532	-99	5000	-99	7	704	1	2017	2021	8.5	3.2	100	16	6.41	100	16	6.91	100	21	6.3	100	3	25	10.2	0	5
black	PILA50_3	PILA	532	-99	5000	-99	3	143	0	2017	-99	12.5	3.6	100	-99	-99	-99	32	9.07	100	38	15.1	90	5	60.2	28.5	100	5
black	PILA50_3	PILA	532	-99	5000	-99	12	573	0	2017	-99	13	3.8	100	20	6.4	100	27.5	8.68	100	63	14.8	100	5	-99	-99	-99	-99
CanaryYellow	PILA50_1	PILA	526	-99	5000	-99	26	-99	0	2017	2017	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99
CanaryYellow	PILA50_1	PILA	526	-99	5000	-99	27	-99	0	2017	2017	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99
CanaryYellow	PILA50_1	PILA	526	-99	5000	-99	28	-99	0	2017	2017	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99
CanaryYellow	PILA50_1	PILA	526	-99	5000	-99	29	-99	0	2017	2017	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99
CanaryYellow	PILA50_1	PILA	526	-99	5000	-99	30	-99	0	2017	2017	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99
CanaryYellow	PILA50_1	PILA	526	-99	5000	-99	31	-99	0	2017	2017	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99
CanaryYellow	PILA50_1	PILA	526	-99	5000	-99	32	-99	0	2017	2017	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99
CanaryYellow	PILA50_1	PILA	526	-99	5000	-99	33	-99	0	2017	2017	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99
CanaryYellow	PILA50_1	PILA	526	-99	5000	-99	34	-99	0	2017	2017	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99
CanaryYellow	PILA50_1	PILA	526	-99	5000	-99	35	-99	0	2017	2017	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99
CanaryYellow	PILA50_1	PILA	526	-99	5000	-99	36	-99	0	2017	2017	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99
CanaryYellow	PILA50_1	PILA	526	-99	5000	-99	5	-99	0	2017	2017	14	3.5	0	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99
CanaryYellow	PILA50_1	PILA	526	-99	5000	-99	25	-99	0	2017	2017	13	2.9	0	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99
