Year	Stumpy17	Stumpy18	Peavine
1992	0	0	0
1993	237.98	12.91	85.62
1994	0	0	0
1995	327.83	0	94.49
1996	0	0	0
1997	0	0	0
1998	211.35	7.01	13.36
1999	0	0	0
2000	0	0	0
2001	0	0	0
2002	0	0	0
2003	0	0	0
2004	0	0	0
2005	0	0	0
2006	211.02	0	11.25
2007	0	0	0
2008	0	0	0
2009	0	0	0
2010	0	0	0
2011	24.4	0	0
2012	0	0	0
2013	0	0	0
2014	0	0	0
2015	0	0	0
2016	0	0	0
2017	420.32	89.62	211.57
2018	0	0	0
2019	195.34	9.23	46.15
2020	0	0	0
2021	0	0	0
